legacy_external_id,key,value
1717,eshop_registered,0
1411,eshop_registered,0
1524,eshop_registered,0
1354,eshop_registered,0
1564,eshop_registered,0
1485,eshop_registered,0
1432,eshop_registered,0
1114,eshop_registered,0
1729,eshop_registered,0
1424,eshop_registered,0
1526,eshop_registered,0
1468,eshop_registered,0
1501,eshop_registered,0
1492,eshop_registered,0
1448,eshop_registered,0
1129,eshop_registered,0
3632,eshop_registered,0
1472,eshop_registered,0
1544,eshop_registered,0
1470,eshop_registered,0
1594,eshop_registered,0
1499,eshop_registered,0
1450,eshop_registered,0
1200,eshop_registered,0
5250,eshop_registered,0
1473,eshop_registered,0
1545,eshop_registered,0
1478,eshop_registered,0
1605,eshop_registered,0
1510,eshop_registered,0
1465,eshop_registered,0
1496,eshop_registered,0
5254,eshop_registered,0
1489,eshop_registered,0
1548,eshop_registered,0
1500,eshop_registered,0
1657,eshop_registered,0
1517,eshop_registered,0
1467,eshop_registered,0
1513,eshop_registered,0
6119,eshop_registered,0
1503,eshop_registered,0
1571,eshop_registered,0
1536,eshop_registered,0
1662,eshop_registered,0
1572,eshop_registered,0
1479,eshop_registered,0
1529,eshop_registered,0
6270,eshop_registered,0
1506,eshop_registered,0
1573,eshop_registered,0
1538,eshop_registered,0
1678,eshop_registered,0
1579,eshop_registered,0
1495,eshop_registered,0
1567,eshop_registered,0
6367,eshop_registered,0
1507,eshop_registered,0
1578,eshop_registered,0
1556,eshop_registered,0
1685,eshop_registered,0
1585,eshop_registered,0
1497,eshop_registered,0
1569,eshop_registered,0
6399,eshop_registered,0
1441,eshop_registered,0
1580,eshop_registered,0
1558,eshop_registered,0
1696,eshop_registered,0
1589,eshop_registered,0
1384,eshop_registered,0
1583,eshop_registered,0
6400,eshop_registered,0
1455,eshop_registered,0
1602,eshop_registered,0
1565,eshop_registered,0
1702,eshop_registered,0
1596,eshop_registered,0
1386,eshop_registered,0
1599,eshop_registered,0
90395,eshop_registered,0
1511,eshop_registered,0
1611,eshop_registered,0
1586,eshop_registered,0
1709,eshop_registered,0
1603,eshop_registered,0
1528,eshop_registered,0
1601,eshop_registered,0
118954,eshop_registered,0
1549,eshop_registered,0
1613,eshop_registered,0
1595,eshop_registered,0
1726,eshop_registered,0
1614,eshop_registered,0
1540,eshop_registered,0
1616,eshop_registered,0
119537,eshop_registered,0
1561,eshop_registered,0
1633,eshop_registered,0
1597,eshop_registered,0
1732,eshop_registered,0
1621,eshop_registered,0
1542,eshop_registered,0
1541,eshop_registered,0
119553,eshop_registered,0
1576,eshop_registered,0
1635,eshop_registered,0
1620,eshop_registered,0
2726,eshop_registered,0
1636,eshop_registered,0
1553,eshop_registered,0
1645,eshop_registered,0
119566,eshop_registered,0
1593,eshop_registered,0
1642,eshop_registered,0
1625,eshop_registered,0
2732,eshop_registered,0
1643,eshop_registered,0
1555,eshop_registered,0
1659,eshop_registered,0
119567,eshop_registered,0
1606,eshop_registered,0
1644,eshop_registered,0
1648,eshop_registered,0
3132,eshop_registered,0
1658,eshop_registered,0
1570,eshop_registered,0
1674,eshop_registered,0
119570,eshop_registered,0
1607,eshop_registered,0
1663,eshop_registered,0
1650,eshop_registered,0
5258,eshop_registered,0
1671,eshop_registered,0
1584,eshop_registered,0
1676,eshop_registered,0
1743,eshop_registered,0
1610,eshop_registered,0
1665,eshop_registered,0
1679,eshop_registered,0
1634,eshop_registered,0
1680,eshop_registered,0
1598,eshop_registered,0
1630,eshop_registered,0
1744,eshop_registered,0
1639,eshop_registered,0
1670,eshop_registered,0
1686,eshop_registered,0
1641,eshop_registered,0
1687,eshop_registered,0
1600,eshop_registered,0
1692,eshop_registered,0
1759,eshop_registered,0
1640,eshop_registered,0
1673,eshop_registered,0
1688,eshop_registered,0
6268,eshop_registered,0
1427,eshop_registered,0
1615,eshop_registered,0
1724,eshop_registered,0
1761,eshop_registered,0
1652,eshop_registered,0
1693,eshop_registered,0
1740,eshop_registered,0
6274,eshop_registered,0
1437,eshop_registered,0
1629,eshop_registered,0
1736,eshop_registered,0
1776,eshop_registered,0
1667,eshop_registered,0
1695,eshop_registered,0
5255,eshop_registered,0
6330,eshop_registered,0
1704,eshop_registered,0
1631,eshop_registered,0
1738,eshop_registered,0
1779,eshop_registered,0
1668,eshop_registered,0
1697,eshop_registered,0
6116,eshop_registered,0
6371,eshop_registered,0
1711,eshop_registered,0
1660,eshop_registered,0
2802,eshop_registered,0
1794,eshop_registered,0
1698,eshop_registered,0
1701,eshop_registered,0
6118,eshop_registered,0
6396,eshop_registered,0
1734,eshop_registered,0
6358,eshop_registered,0
3204,eshop_registered,0
1814,eshop_registered,0
1700,eshop_registered,0
1727,eshop_registered,0
6282,eshop_registered,0
10258,eshop_registered,0
1739,eshop_registered,0
6360,eshop_registered,0
5259,eshop_registered,0
1828,eshop_registered,0
1714,eshop_registered,0
1733,eshop_registered,0
6284,eshop_registered,0
119534,eshop_registered,0
2724,eshop_registered,0
7946,eshop_registered,0
6246,eshop_registered,0
1859,eshop_registered,0
1731,eshop_registered,0
2725,eshop_registered,0
6357,eshop_registered,0
119539,eshop_registered,0
3134,eshop_registered,0
9267,eshop_registered,0
6278,eshop_registered,0
1860,eshop_registered,0
2728,eshop_registered,0
2727,eshop_registered,0
90108,eshop_registered,0
119546,eshop_registered,0
3634,eshop_registered,0
73976,eshop_registered,0
6327,eshop_registered,0
1873,eshop_registered,0
3130,eshop_registered,0
2731,eshop_registered,0
104916,eshop_registered,0
1783,eshop_registered,0
4213,eshop_registered,0
74329,eshop_registered,0
6328,eshop_registered,0
1888,eshop_registered,0
3630,eshop_registered,0
2733,eshop_registered,0
1509,eshop_registered,0
1791,eshop_registered,0
5249,eshop_registered,0
119530,eshop_registered,0
6359,eshop_registered,0
1889,eshop_registered,0
3631,eshop_registered,0
2801,eshop_registered,0
1811,eshop_registered,0
1817,eshop_registered,0
